Id,ModelName,Type,Property
1,aileronD,rotate,
2,aileronG,rotate,
3,aircraft_wash_l,translate,position/altitude-agl-ft
4,airDoorL1,rotate,sim/multiplay/generic/float[21]
5,airDoorL2,rotate,sim/multiplay/generic/float[22]
6,airDoorR1,rotate,sim/multiplay/generic/float[21]
7,airDoorR2,rotate,sim/multiplay/generic/float[22]
8,axeAHstrut,rotate,gear/gear[0]/position-norm
9,axeAHstrut,rotate,gear/gear[0]/position-norm
10,Canopy,rotate,canopy/position-norm
11,direction,rotate,surface-positions/rudder-pos-norm
12,freinD,rotate,surface-positions/speedbrake-pos-norm
13,freinG,rotate,surface-positions/speedbrake-pos-norm
14,fuelProbe,rotate,sim/multiplay/generic/float[6]
15,fuelProbeDoor1,rotate,sim/multiplay/generic/float[6]
16,fuelProbeDoor2,rotate,sim/multiplay/generic/float[6]
17,fuelProbeDoorFairing,rotate,sim/multiplay/generic/float[6]
18,l-nozzle-001,rotate,engines/engine[0]/n2
19,l-nozzle-002,rotate,engines/engine[0]/n2
20,l-nozzle-003,rotate,engines/engine[0]/n2
21,l-nozzle-004,rotate,engines/engine[0]/n2
22,l-nozzle-005,rotate,engines/engine[0]/n2
23,l-nozzle-006,rotate,engines/engine[0]/n2
24,l-nozzle-007,rotate,engines/engine[0]/n2
25,l-nozzle-008,rotate,engines/engine[0]/n2
26,l-nozzle-009,rotate,engines/engine[0]/n2
27,l-nozzle-010,rotate,engines/engine[0]/n2
28,l-nozzle-011,rotate,engines/engine[0]/n2
29,l-nozzle-012,rotate,engines/engine[0]/n2
30,l-nozzle-013,rotate,engines/engine[0]/n2
31,l-nozzle-014,rotate,engines/engine[0]/n2
32,l-nozzle-015,rotate,engines/engine[0]/n2
33,l-nozzle-016,rotate,engines/engine[0]/n2
34,porteA,rotate,gear/gear[0]/position-norm
35,porteAD,rotate,gear/gear[0]/position-norm
36,porteAG,rotate,gear/gear[0]/position-norm
37,porteDB,rotate,gear/gear[2]/position-norm
38,porteDB1,rotate,gear/gear[2]/position-norm
39,porteDH,rotate,gear/gear[2]/position-norm
40,porteGB,rotate,gear/gear[1]/position-norm
41,porteGB1,rotate,gear/gear[1]/position-norm
42,porteGH,rotate,gear/gear[1]/position-norm
43,profondeurD,rotate,
44,profondeurG,rotate,
45,r-nozzle-001,rotate,engines/engine[1]/n2
46,r-nozzle-002,rotate,engines/engine[1]/n2
47,r-nozzle-003,rotate,engines/engine[1]/n2
48,r-nozzle-004,rotate,engines/engine[1]/n2
49,r-nozzle-005,rotate,engines/engine[1]/n2
50,r-nozzle-006,rotate,engines/engine[1]/n2
51,r-nozzle-007,rotate,engines/engine[1]/n2
52,r-nozzle-008,rotate,engines/engine[1]/n2
53,r-nozzle-009,rotate,engines/engine[1]/n2
54,r-nozzle-010,rotate,engines/engine[1]/n2
55,r-nozzle-011,rotate,engines/engine[1]/n2
56,r-nozzle-012,rotate,engines/engine[1]/n2
57,r-nozzle-013,rotate,engines/engine[1]/n2
58,r-nozzle-014,rotate,engines/engine[1]/n2
59,r-nozzle-015,rotate,engines/engine[1]/n2
60,r-nozzle-016,rotate,engines/engine[1]/n2
61,roueA,rotate,fdm/jsbsim/fcs/steer-pos-deg
62,roueA,rotate,gear/gear[0]/compression-norm
63,roueD,rotate,gear/gear[2]/compression-norm
64,roueG,rotate,gear/gear[1]/compression-norm
65,slatD,rotate,sim/multiplay/generic/float[20]
66,slatD,translate,sim/multiplay/generic/float[20]
67,slatG,rotate,sim/multiplay/generic/float[20]
68,slatG,translate,sim/multiplay/generic/float[20]
69,TailHook,rotate,gear/tailhook/position-norm
70,TrainDroit,rotate,gear/gear[2]/position-norm
71,TrainDroit,rotate,gear/gear[2]/position-norm
72,TrainGauche,rotate,gear/gear[1]/position-norm
73,TrainGauche,rotate,gear/gear[1]/position-norm
74,voletD,rotate,surface-positions/flap-pos-norm
75,voletG,rotate,surface-positions/flap-pos-norm
76,volets,rotate,surface-positions/flap-pos-norm